Row,Building,City,Height m,Height ft,Floors,Year,Status
3263,Jing An Kerry Centre Tower 3,Shanghai,198.00 m,649.61 ft,43 floors,2013,completed
3264,The Sharp Centum Park 204,Busan,50 floors,2005,completed
3265,Sol de Poniente 2,Benidorm,112.00 m,367.45 ft,33 floors,2006,completed
3266,1477 West Pender,Vancouver,112.72 m,369.80 ft,36 floors,2010,completed
3267,Excellence Century Plaza Tower 4,Shenzhen,156.00 m,511.81 ft,37 floors,2010,completed
3268,BSEL Pearl Tower,Ajman,50 floors,,interrupted
3269,Park Plaza Tower,Sydney,303.00 m,994.09 ft,78 floors,,canceled
3270,Air Tower,Tokyo,170.00 m,557.74 ft,48 floors,2007,completed
3271,Malecon Center 2,Santo Domingo,122.40 m,401.57 ft,31 floors,2003,completed
3272,Greenland Plaza Apartment Block 3,Dalian,172.00 m,564.30 ft,50 floors,2014,completed
3273,Moon Tower,Riyadh,133.00 m,436.35 ft,27 floors,2013,completed
3274,Kohinoor Square Tower 2,Mumbai,117.00 m,383.86 ft,32 floors,,frame assembly
3275,Cipriani Hotel & Residences,São Paulo,121.10 m,397.31 ft,29 floors,2009,completed
3276,Jinling Hotel,Nanjing,110.40 m,362.20 ft,37 floors,1983,completed
3277,Tierra Verde 2,Hong Kong,142.20 m,466.54 ft,50 floors,1999,completed
3278,Pauahi Tower,Honolulu,106.68 m,350.00 ft,28 floors,1984,completed
3279,Condominium,Hat Yai,45 floors,,completed
3280,118 Connaught Road West,Hong Kong,162.00 m,531.50 ft,40 floors,,completed
3281,Pearl Sky,Durban,183.00 m,600.39 ft,44 floors,,canceled
3282,Mondrian Condominiums,New York City,133.81 m,439.01 ft,43 floors,1992,completed
3283,Tour Mexico,Paris,104.00 m,341.21 ft,36 floors,1974,completed
3284,West Athens Towers 3,Athens,130.00 m,426.51 ft,27 floors,,vision
3285,Hongren Fortune Center,Wuhan,264.60 m,868.11 ft,47 floors,2016,completed
3286,Equity Tower,Jakarta,220.00 m,721.78 ft,44 floors,2010,completed
3287,Linden Hotel,Kaohsiung,160.33 m,526.02 ft,41 floors,1994,completed
3288,Harmonious Century Plaza 2,Kunming,210.00 m,688.98 ft,55 floors,2016,completed
3289,Mansão Wildberger,Salvador,41 floors,,canceled
3290,Waterfront Plaza I,Louisville,103.63 m,339.99 ft,25 floors,1991,completed
3291,Tak Bo Garden D,Hong Kong,41 floors,1984,completed
3292,Hotel Rodina,Sofia,104.00 m,341.21 ft,25 floors,1979,completed
3293,Grand Millennium Plaza II,Hong Kong,123.00 m,403.54 ft,30 floors,1998,completed
3294,Baniyas Tower Block B,Dubai,100.00 m,328.08 ft,22 floors,1999,completed
3295,Centre 66 Tower 1,Wuxi,250.00 m,820.21 ft,44 floors,2014,completed
3296,Hyper Building,Tokyo,1000.00 m,3280.84 ft,,,vision
3297,High Point I,Fort Myers,103.94 m,341.00 ft,33 floors,2007,completed
3298,The Grandiose 1,Hong Kong,168.00 m,551.18 ft,,2006,completed
3299,Kennedy 1,Santiago de Chile,55 floors,,proposed
3300,The Sharp Star City Tower D,Seoul,45 floors,2006,completed
3301,Lai Lam House,Hong Kong,42 floors,2001,completed
3302,Clube XV Pathernon Flat,Santos,100.00 m,328.08 ft,25 floors,2005,completed
3303,Miramar Tower 2,Panama City,168.00 m,551.18 ft,55 floors,1997,completed
3304,Empire Condominium Tower,New York City,102.72 m,337.00 ft,32 floors,2001,completed
3305,Aqua Marine Tower 5,Hong Kong,50 floors,2003,completed
3306,The Towers on Capitol Mall II,Sacramento,187.45 m,615.01 ft,53 floors,,canceled
3307,Ocean Shores 11-13,Hong Kong,171.41 m,562.35 ft,57 floors,2003,completed
3308,General Telephone Building,New York City,110.95 m,364.01 ft,28 floors,1959,completed
3309,Haeundae I Park Marina Tower 1,Busan,272.86 m,895.21 ft,66 floors,2011,completed
3310,Wuhan Radio and Television Center,Wuhan,168.00 m,551.18 ft,30 floors,2005,completed
3311,23 East 22nd Street,New York City,107.00 m,351.05 ft,25 floors,2012,canceled
3312,Wah Yin House,Hong Kong,40 floors,1990,completed
3313,Stadium Alphaville,Barueri,110.00 m,360.89 ft,28 floors,2002,completed
3314,Garden Plaza,Istanbul,170.00 m,557.74 ft,44 floors,2010,approved
3315,Bucheon Kumho Richensia Tower 1,Bucheon,240.66 m,789.57 ft,66 floors,2012,completed
3316,Parus Business Center,Kyiv,136.00 m,446.19 ft,33 floors,2008,completed
3317,Sisli Plaza,Istanbul,170.10 m,558.07 ft,46 floors,2007,completed
3318,Burj Al Anoud 1,Riyadh,145.00 m,475.72 ft,20 floors,2005,completed
3319,Park Fifth Tower 2,Los Angeles,43 floors,2012,canceled
3320,Golden Bell Mansion,Shanghai,200.00 m,656.17 ft,46 floors,1998,completed
3321,Calgary Place Apartments - East,Calgary,103.00 m,337.93 ft,37 floors,1970,completed
3322,Sau Yat House,Hong Kong,131.45 m,431.27 ft,41 floors,2001,completed
3323,Timiryazevsky II,Moscow,101.60 m,333.33 ft,29 floors,2003,completed
3324,Cyber Tower A,Beijing,125.00 m,410.10 ft,28 floors,2001,completed
3325,Liberty Building,Buffalo,105.16 m,345.00 ft,23 floors,1925,completed
3326,Farrer Court Redevelopment Block 3,Singapore,150.00 m,492.13 ft,36 floors,,approved
3327,Hiu Ching House,Hong Kong,41 floors,1997,completed
3328,Top House,São Paulo,136.00 m,446.19 ft,41 floors,,canceled
3329,Mazaya Tower,Dubai,70 floors,2010,approved
3330,Tour Bell Canada,Montreal,128.00 m,419.95 ft,28 floors,1983,completed
3331,Grand Promenade 6,Hong Kong,209.00 m,685.70 ft,63 floors,2005,completed
3332,Chiba Port Square Port Side Tower,Chiba,122.00 m,400.26 ft,29 floors,1993,completed
3333,Hampton 10,Singapore,119.00 m,390.42 ft,38 floors,2002,completed
3334,Coastal International Center 2,Dalian,175.00 m,574.15 ft,50 floors,2010,completed
3335,UP-site,Brussels,142.03 m,465.96 ft,42 floors,2014,completed
3336,Chelsea Heights 7,Hong Kong,129.41 m,424.57 ft,39 floors,2000,completed
3337,Edificio Acaiaca,Belo Horizonte,120.09 m,394.01 ft,30 floors,1943,completed
3338,Port Authority Tower,New York City,40 floors,,canceled
3339,Wells Fargo Center,Sacramento,128.93 m,423.01 ft,30 floors,1992,completed
3340,Horto Bela Vista Torre Residencial 4,Salvador,44 floors,,approved
3341,Torre Reforma,Mexico City,125.00 m,410.10 ft,28 floors,,completed
3342,China Construction Bank Tower,Guangzhou,46 floors,,completed
3343,Furama Kempinski Hotel,Hong Kong,109.76 m,360.10 ft,33 floors,1977,destroyed
3344,Horto Bela Vista Torre Residencial 1,Salvador,44 floors,,approved
3345,Shin Yokohama Prince Hotel,Yokohama,149.35 m,489.99 ft,42 floors,1992,completed
3346,Lake Pointe Tower,Milwaukee,42 floors,,canceled
3347,Lake Terrace,Dubai,187.00 m,613.52 ft,40 floors,2008,completed
3348,Gold Pearl Tower,Manama,50 floors,2007,completed
3349,The Vanderbilt,New York City,131.98 m,433.01 ft,40 floors,1986,completed
3350,Défense 2000,Puteaux,132.00 m,433.07 ft,47 floors,1974,completed
3351,Tower T,Hong Kong,41 floors,2004,completed
3352,Well On Garden 3,Hong Kong,141.23 m,463.35 ft,44 floors,1994,completed
3353,Tong Wong House,Hong Kong,42 floors,,completed
3354,The Marquis,Pompano Beach,108.82 m,357.00 ft,35 floors,,approved
3355,Sofitel Hotel,San Francisco,42 floors,,canceled
3356,1001 Bay,Toronto,115.00 m,377.30 ft,36 floors,,completed
3357,Toyosu Center Building Annex,Tokyo,147.00 m,482.28 ft,33 floors,2006,completed
3358,100 hoog,Rotterdam,100.00 m,328.08 ft,32 floors,2010,proposed
3359,623 West Monroe,Chicago,43 floors,,canceled
3360,Granpark Tower,Tokyo,149.96 m,492.00 ft,34 floors,1996,completed
3361,IS Bankasi Tower III,Istanbul,118.00 m,387.14 ft,36 floors,2000,completed
3362,Gazprom Tower - Herzog & De Meuron Proposal,Saint Petersburg,82 floors,,competition entry
3363,Sky City,Changsha,830.00 m,2723.10 ft,202 floors,,canceled
3364,The Waterside,Hong Kong,45 floors,1998,completed
3365,Triangle Ferroviari,Barcelona,148.00 m,485.56 ft,34 floors,,approved
3366,Lange Jan & Lange Lies,Heerlen,108.00 m,354.33 ft,31 floors,,canceled
3367,PFAU Tower,Asunción,240.02 m,787.45 ft,63 floors,2006,vision
3368,Tsz Ping House,Hong Kong,125.95 m,413.22 ft,39 floors,1997,completed
3369,Edificio el Capitolio,San Pedro Garza García,107.00 m,351.05 ft,28 floors,1997,completed
3370,Tower of Peace,São Paulo,510.00 m,1673.23 ft,108 floors,,canceled
3371,Osaka Kokusai Building,Osaka,125.11 m,410.47 ft,32 floors,1973,completed
3372,Platinum Tower,Dubai,190.00 m,623.36 ft,44 floors,2010,completed
3373,Lai Ying House,Hong Kong,42 floors,2001,completed
3374,Cityplace at Buckhead III,Atlanta,150.27 m,493.01 ft,42 floors,,canceled
3375,Centennial Tower,Atlanta,140.00 m,459.31 ft,36 floors,1975,completed
3376,Kasumigaseki Building,Tokyo,156.00 m,511.81 ft,36 floors,1968,completed
3377,UEM Headquarters,Kuala Lumpur,115.00 m,377.30 ft,29 floors,,frame assembly
3378,499 Park Avenue,New York City,102.11 m,335.00 ft,27 floors,1980,completed
3379,Holonic Tower,Tokyo,600.00 m,1968.50 ft,120 floors,,vision
3380,Athaydeville 73,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
3381,The Palace,Durban,109.70 m,359.91 ft,26 floors,1983,completed
3382,Carew-Netherland Garage,Cincinnati,104.24 m,342.00 ft,27 floors,1931,destroyed
3383,Park 1000,Chicago,130.76 m,429.01 ft,40 floors,,canceled
3384,Venasis Kanamachi Tower Residence,Tokyo,42 floors,2009,completed
3385,NTT DoCoMo Sumida Building,Tokyo,133.70 m,438.65 ft,27 floors,2004,completed
3386,Manhattan Tower,Tel Aviv,140.00 m,459.32 ft,41 floors,2009,completed
3387,Nanjing Shimao Riviera New City 7,Nanjing,40 floors,,frame assembly
3388,Manhattan Plaza Apartments I,New York City,130.46 m,428.01 ft,46 floors,1977,completed
3389,Grand Hyatt Chengdu at Chicony Plaza,Chengdu,165.00 m,541.34 ft,37 floors,2011,completed
3390,DNP Gotanda Building,Tokyo,126.50 m,415.03 ft,25 floors,2006,completed
3391,Skygarden,Linz,160.00 m,524.93 ft,24 floors,,canceled
3392,Times Square A,Chongqing,145.00 m,475.72 ft,33 floors,2003,completed
3393,Blue on the Bay,Miami,129.54 m,425.01 ft,36 floors,2005,completed
3394,El Maadi Residential Tower 15,Cairo,140.00 m,459.31 ft,42 floors,1987,completed
3395,SOHO Tower A,Beijing,42 floors,2001,completed
3396,Peachtree Summit #1,Atlanta,123.75 m,406.00 ft,31 floors,1975,completed
3397,Riverbank West Apartments,New York City,145.00 m,475.73 ft,45 floors,1987,completed
3398,Citibank Building,New York City,159.72 m,524.01 ft,41 floors,1961,completed
3399,Bay West,Dubai,42 floors,2010,completed
3400,Huaxia Financial Square Tower A,Shanghai,191.00 m,626.64 ft,42 floors,2003,completed
3401,Etisalat Tower,Sharjah,120.00 m,393.70 ft,18 floors,1998,completed
3402,La Cite Noble 2,Hong Kong,157.35 m,516.24 ft,46 floors,1999,completed
3403,Tak Bo Garden C,Hong Kong,41 floors,1984,completed
3404,New York Stock Exchange Annex,New York City,118.87 m,390.00 ft,27 floors,1956,completed
3405,Athaydeville 6,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
3406,The Regalia,Sunny Isles Beach,147.83 m,485.01 ft,43 floors,2014,completed
3407,110 East 59th Street,New York City,131.68 m,432.02 ft,37 floors,1969,completed
3408,Rosewood Hotel,Abu Dhabi,143.30 m,470.14 ft,39 floors,2013,completed
3409,Burj Place Tower 2,Dubai,55 floors,,proposed
3410,Calinda Beach Acapulco,Acapulco,101.00 m,331.36 ft,26 floors,,completed
3411,Yee King Court,Hong Kong,42 floors,1993,completed
3412,Palm Springs International Center,Chengdu,200.00 m,656.17 ft,41 floors,2013,completed
3413,King Square Landlex Bay Resort,Osaka,40 floors,2006,completed
3414,Post & Telecommunications Center,Tianjin,182.58 m,599.02 ft,26 floors,1998,completed
3415,UP:town,Rotterdam,120.00 m,393.70 ft,,2010,proposed
3416,Fairlane Tower,Hong Kong,40 floors,1998,completed
3417,Jie Fang Daily News Building,Shanghai,102.00 m,334.65 ft,27 floors,,completed
3418,The Pinnacle@Duxton Block 1E,Singapore,50 floors,2009,completed
3419,First International Bank Tower,Tel Aviv,132.00 m,433.07 ft,32 floors,2009,completed
3420,Torre Leste,São Paulo,120.00 m,393.70 ft,32 floors,2001,completed
3421,Al Jawharah Tower,Jeddah,224.00 m,734.91 ft,48 floors,2014,completed
3422,Manhattan Hill 1-2,Hong Kong,198.00 m,649.61 ft,51 floors,2006,completed
3423,Livio Hashimoto Tower,Sagamihara,109.95 m,360.73 ft,33 floors,2003,completed
3424,Megapólis Torre 2,Panama City,340.00 m,1115.49 ft,87 floors,,site preparation
3425,Le Prestige Tower B,Hong Kong,70 floors,2011,completed
3426,United International Mansion,Chongqing,287.00 m,941.60 ft,67 floors,2013,completed
3427,Barao de Javari,Rio de Janeiro,113.01 m,370.77 ft,32 floors,,completed
3428,Guanghua Tower,Shanghai,143.00 m,469.16 ft,29 floors,2005,completed
3429,Columbus Tower,London,237.00 m,777.56 ft,61 floors,,canceled
3430,Sky Tower 1,Hong Kong,164.70 m,540.35 ft,52 floors,2004,completed
3431,Marble Towers,Johannesburg,152.00 m,498.69 ft,32 floors,1973,completed
3432,320 Kent Avenue,New York City,121.90 m,399.93 ft,36 floors,,proposed
3433,222 East 41st Street,New York City,114.30 m,375.00 ft,25 floors,2002,completed
3434,ViewPoint,Atlanta,152.70 m,500.98 ft,36 floors,2008,completed
3435,Kallang Block 9,Singapore,40 floors,2010,completed
3436,Sky Tower 7,Hong Kong,164.70 m,540.35 ft,52 floors,2004,completed
3437,KCRC Hotel,Hong Kong,88 floors,,proposed
3438,Shenzhen Development Center,Shenzhen,165.30 m,542.32 ft,43 floors,1987,completed
3439,The Manhattan,Hong Kong,142.10 m,466.21 ft,48 floors,,completed
3440,Qingxiu Wanda Mansion 2,Nanning,195.00 m,639.76 ft,60 floors,,canceled
3441,Boramae Nasan Suite Apartment Building,Seoul,140.80 m,461.94 ft,37 floors,1993,completed
3442,Barramares Bloco VIII,Rio de Janeiro,100.34 m,329.20 ft,32 floors,1979,completed
3443,Hin Ming Court,Hong Kong,40 floors,1996,completed
3444,Lijing Building,Shenzhen,117.00 m,383.86 ft,35 floors,1999,completed
3445,Osaka Maru Building,Osaka,123.45 m,405.02 ft,30 floors,1976,completed
3446,InterContinental Chicago Hotel North,Chicago,259.08 m,850.01 ft,71 floors,,canceled
3447,Al Sila Tower,Abu Dhabi,131.00 m,429.79 ft,31 floors,2012,completed
3448,Tower West,Yokohama,143.55 m,470.96 ft,42 floors,2001,completed
3449,Wah Hau House,Hong Kong,40 floors,1990,completed
3450,Windsor on the Lake,Austin,103.33 m,339.00 ft,31 floors,2008,completed
3451,LIWA Heights,Dubai,148.20 m,486.22 ft,41 floors,2008,completed
3452,Farrer Court Redevelopment Block 2,Singapore,150.00 m,492.13 ft,36 floors,,approved
3453,Dubai Tower 3,Dubai,460.08 m,1509.46 ft,,2010,approved
3454,Grand Tower,Los Angeles,107.60 m,353.01 ft,28 floors,1989,completed
3455,Osaka Obayashi Building,Osaka,120.00 m,393.70 ft,32 floors,1973,completed
3456,International Business Center,Seoul,580.04 m,1903.02 ft,130 floors,2008,approved
3457,Resolution Condominium,Honolulu,106.68 m,350.00 ft,42 floors,1976,completed
3458,Karachi Financial Tower One,Karachi,160.00 m,524.93 ft,40 floors,,interrupted
3459,Festival City I Tower 3,Hong Kong,51 floors,2010,completed
3460,Qatar Telecom Headquarters,Doha,158.00 m,518.37 ft,29 floors,2004,completed
3461,Marquis II,Atlanta,115.22 m,378.01 ft,30 floors,1989,completed
3462,Capital Tower,Tokyo,42 floors,2007,completed
3463,Hoi Wan Mansion,Hong Kong,40 floors,,completed
3464,Grant Park Tower III,Chicago,240.80 m,790.01 ft,73 floors,,canceled
3465,1 Rothschild Boulevard,Tel Aviv,125.00 m,410.10 ft,32 floors,2010,completed
3466,The Seasons Residences,Tampa,51 floors,,canceled
3467,Station Square - Office Building A,White Plains,144.78 m,475.01 ft,,,canceled
3468,Rahardja Centre Tower 2,Singapore,63 floors,,canceled
3469,China Central Place Tower 3,Beijing,135.00 m,442.91 ft,28 floors,2007,completed
3470,Downtown by Philippe Starck,New York City,167.95 m,551.02 ft,42 floors,1927,completed
3471,Soleil,Brisbane,243.00 m,797.24 ft,78 floors,2012,completed
3472,Elephant & Castle Eco-Tower,London,40 floors,,canceled
3473,River Park Center Apartment Tower 1,Yonkers,152.40 m,500.01 ft,,,proposed
3474,The Epic,New York City,187.41 m,614.86 ft,58 floors,2007,completed
3475,1500 Louisiana Street,Houston,182.88 m,600.01 ft,40 floors,2002,completed
3476,Clovelly Court 1,Hong Kong,44 floors,1994,completed
3477,Tour Sans Fins,Puteaux,425.00 m,1394.36 ft,100 floors,,canceled
3478,Coliseu,Porto Alegre,100.00 m,328.08 ft,30 floors,1962,completed
3479,Hess Tower,Houston,149.35 m,490.01 ft,29 floors,2010,completed
3480,Ching Tai House,Hong Kong,43 floors,2000,completed
3481,Maple Leaf Square South Tower,Toronto,171.30 m,562.01 ft,50 floors,2010,completed
3482,Palace Court Pacific Plaza I,Shanghai,103.00 m,337.93 ft,32 floors,,completed
3483,Bercy Plaza I,Guangzhou,190.81 m,626.01 ft,51 floors,2007,completed
3484,Roccabella 2,Montreal,147.00 m,482.28 ft,40 floors,2017,completed
3485,Business Center Building,Nagoya,113.80 m,373.36 ft,23 floors,1996,completed
3486,Seagull Tower,Dubai,46 floors,,proposed
3487,National Power Network Control Center,Beijing,113.45 m,372.21 ft,28 floors,1999,completed
3488,Le 1501 McGill College,Montreal,158.19 m,519.01 ft,36 floors,1992,completed
3489,Marina Habitat Tower 3,Hong Kong,45 floors,1998,completed
3490,Three Nationwide Plaza,Columbus,124.36 m,408.01 ft,27 floors,1988,completed
3491,New York New York Tower,Chongqing,228.00 m,748.03 ft,46 floors,2004,completed
3492,Man Chak House,Hong Kong,46 floors,1982,completed
3493,Park Heights Residential Tower,Henderson,100.59 m,330.00 ft,,,proposed
3494,Residence Bel-Air 1-8,Hong Kong,40 floors,2004,completed
3495,Island Harbourview tower 1,Hong Kong,111.00 m,364.17 ft,39 floors,2000,completed
3496,136-138 Walker Street,North Sydney,117.00 m,383.86 ft,36 floors,,proposed
3497,Glomac Tower,Kuala Lumpur,168.03 m,551.29 ft,40 floors,2011,completed
3498,Chapal The Presidency,Ajman,51 floors,,interrupted
3499,One Brickell CityCentre,Miami,335.90 m,1102.03 ft,80 floors,,proposed
3500,Fujairah Tower,Fujairah,155.00 m,508.53 ft,47 floors,2002,completed
3501,Nanjing Centennial Towers I,Nanjing,224.00 m,734.91 ft,64 floors,,proposed
3502,Center Building,Sapporo,101.50 m,333.01 ft,25 floors,,completed
3503,Northshore Apartments,Austin,126.42 m,414.75 ft,37 floors,2016,completed
3504,James Monroe Building Phase II,Richmond,137.16 m,450.01 ft,28 floors,,canceled
3505,616 1st Avenue East Tower,New York City,143.10 m,469.49 ft,35 floors,2017,completed
3506,Overseas Chinese Building,Guangzhou,133.00 m,436.35 ft,40 floors,1991,completed
3507,Leonardo 12,Genoa,110.00 m,360.89 ft,,,proposed
3508,Four Leaf Towers I,Houston,135.33 m,444.01 ft,40 floors,1982,completed
3509,Edifici Ona,Barcelona,100.00 m,328.08 ft,19 floors,,interrupted
3510,Edificio Citibank,Caracas,125.00 m,410.10 ft,28 floors,1999,completed
3511,East Point City Tower 7,Hong Kong,150.63 m,494.19 ft,49 floors,2000,completed
3512,Sorrento 5,Hong Kong,212.11 m,695.90 ft,62 floors,2003,completed
3513,China Merchants International Finance Centre I,Nanjing,44 floors,1998,completed
3514,800 Columbia Street,Seattle,105.00 m,344.50 ft,32 floors,,approved
3515,Princeton Apartments,Sydney,119.00 m,390.42 ft,38 floors,1995,completed
3516,Zagorye Quarter Tower,Moscow,165.00 m,541.34 ft,48 floors,2013,completed
3517,Torre Renoir 2,Buenos Aires,171.86 m,563.85 ft,51 floors,,completed
3518,Hawaii Prince I,Honolulu,105.61 m,346.50 ft,32 floors,1990,completed
3519,The Residences Stage 3 Tower 12,Dubai,44 floors,,canceled
3520,The Address Residence Sky View Tower 2,Dubai,50 floors,,foundation work
3521,Wisma Denmark,Kuala Lumpur,142.07 m,466.11 ft,32 floors,1992,completed
3522,Wish Istanbul Blok A,Istanbul,41 floors,,frame assembly
3523,Indianapolis World Trade Center,Indianapolis,71 floors,,canceled
3524,Causeway Centre Block B,Hong Kong,128.00 m,419.95 ft,43 floors,1979,completed
3525,Portico del Este I,Caracas,110.00 m,360.89 ft,30 floors,2002,completed
3526,Grand Hyatt Kuala Lumpur,Kuala Lumpur,43 floors,2012,completed
3527,Clovelly Court 2,Hong Kong,44 floors,1994,completed
3528,World Finance Centre Tower A,Shenzhen,222.38 m,729.59 ft,54 floors,2003,completed
3529,AVIC Plaza,Xiamen,202.00 m,662.73 ft,48 floors,2015,completed
3530,Urbana 5,Santoshpur,41 floors,2015,topped out
3531,Tower U,Hong Kong,41 floors,2004,completed
3532,Milanofiori 2000-2002 Phase II,Milan,190.00 m,623.36 ft,42 floors,,proposed
3533,Arena Central Tower,Birmingham,175.00 m,574.15 ft,50 floors,,canceled
3534,Rahardja Centre Tower 3,Singapore,51 floors,,canceled
3535,Foley Square Federal Courthouse,New York City,124.97 m,410.01 ft,27 floors,1994,completed
3536,The Mansion at Burj Dubai,Dubai,227.00 m,744.75 ft,60 floors,2010,site preparation
3537,Avenue Southeast First Tower,Miami,111.15 m,364.67 ft,35 floors,2007,completed
