Row,Building,City,Height m,Height ft,Floors,Year,Status
272,Civic Opera Building,Chicago,169.17 m,555.01 ft,45 floors,1929,completed
273,One Forty West,Frankfurt am Main,145.00 m,475.72 ft,41 floors,2020,topped out
274,Dorint Augsburg,Augsburg,115.00 m,377.29 ft,37 floors,1972,completed
275,West Tower,Liverpool,140.00 m,459.32 ft,40 floors,2007,completed
276,David Stott Building,Detroit,133.08 m,436.60 ft,32 floors,1929,completed
277,Premier Tower,Melbourne,248.60 m,815.62 ft,78 floors,2020,frame assembly
278,Deutsche Bank Place,Sydney,239.93 m,787.17 ft,39 floors,2005,completed
279,111 Westminster Street,Providence,130.46 m,428.01 ft,26 floors,1927,not in use
280,The Spin,Frankfurt am Main,128.00 m,419.95 ft,32 floors,2022,frame assembly
281,Spektrum Tower,Warsaw,122.00 m,400.26 ft,30 floors,2001,completed
282,DeutschlandRadio,Cologne,102.00 m,334.65 ft,19 floors,1975,completed
283,Dalian Greenland Center,Dalian,518.00 m,1699.48 ft,88 floors,,interrupted
284,Leo Burnett Building,Chicago,193.55 m,635.01 ft,46 floors,1989,completed
285,Civil Courts Building,Saint Louis,117.70 m,386.15 ft,13 floors,1929,completed
286,30 East 31st Street,New York City,146.09 m,479.31 ft,42 floors,2020,topped out
287,Capital Gate,Abu Dhabi,164.70 m,540.35 ft,36 floors,2011,completed
288,Fairmont Hotel Vancouver,Vancouver,110.64 m,363.01 ft,17 floors,1939,completed
289,Fred F. French Building,New York City,130.76 m,429.01 ft,38 floors,1927,completed
290,WinX Tower,Frankfurt am Main,110.00 m,360.89 ft,29 floors,2020,completed
291,Harris Bank Addition II,Chicago,155.45 m,510.01 ft,38 floors,1974,completed
292,MetLife Building,New York City,246.28 m,808.01 ft,59 floors,1963,completed
293,Marina Tower,Melbourne,134.90 m,442.59 ft,44 floors,2017,completed
294,Marienturm,Frankfurt am Main,155.00 m,508.53 ft,38 floors,2019,completed
